微博正文,是否原创,发布时间,发布工具,点赞数,转发数,评论数
",关注,人民日报,笔记本电脑,Mate20手机,智能音箱等你拿,今天,人民日报新浪微博粉丝数超80000000了,2321天,感谢你一路相伴,关注,人民日报,转发本条微博,你的3位好友,就有机会赢取6部华为Mate20手机,2台全新联想小新Air,13笔记本,50个小度智能音箱等奖品,速转,祝你中大奖,组图共9张,原图,",True,2018-11-29 07:30,新媒体聚合平台,95879,267198,189150
",直播凉山救火英雄追悼会,英雄一路走好,四川木里县森林大火,引发爆燃,在这个惨烈的瞬间后,27名森林消防员和3名当地扑火队员,再也没能睁开他们的双眼,今天,也许你来不到他们身旁,但是,不论你身在何方,当你看到这场直播时,都请默哀,和我们一起送别英雄,四川观察,人民日报的微博直播,",True,2019-04-04 09:30,微博网页版,336897,161017,31959
",6秒43,苏炳添三天两破亚洲纪录,国际田联消息,当地时间2月6日,德国杜塞尔多夫室内赛,苏炳添以6秒43的成绩夺冠,再度刷新自己保持的室内60米亚洲纪录,3天前,他刚以6秒47打破亚洲记录,人民日报的秒拍视频霸气,中国飞人,",True,2018-02-07 08:42,新媒体聚合平台,425488,48563,51308
",正在直播,星空压轴大戏,双子座流星雨来了,作为每年最值得期待的流星雨之一,2018年双子座流星雨将从12日一直持续至17日,12月14日达到高潮,峰值每小时的天顶流星量在120颗左右,相当于1分钟里就有两颗流星划过夜空,戳直播,人民日报,带你去看流星雨,人民日报的微博直播,",True,2018-12-14 20:16,微博网页版,429368,18507,76068
",十九大,习近平,青年兴则国家兴,青年强则国家强,青年一代有理想,有本领,有担当,国家就有前途,民族就有希望,中国梦是历史的,现实的,也是未来的,是我们这一代的,更是青年一代的,中华民族伟大复兴的中国梦终将在一代代青年的接力奋斗中变为现实,原图,",True,2017-10-18 12:32,新媒体聚合平台,32831,483969,6405
",长生生物疫苗事件,不能任由恐慌,愤怒情绪蔓延,相关部门须及时回应关切,种种舆情不断冒出,公众在这些信息中愤怒,恐惧,迷失,疫苗生产存在记录造假,的具体情况是什么,生产记录造假对涉事疫苗实际功效有何影响,希望相关部门能给公众一个满意的交待,给违法者应有的惩罚,问题疫苗事件,不能任由恐慌,愤怒情绪蔓延,相关部门须及时回应关切,",True,2018-07-22 09:46,微博 weibo.com,214134,190486,101508
",你愿为他们转吗,大雪过后刷屏的不仅是雪景,还有这张让人心疼的照片,这两天,南京抗击暴雪,全城7,8万人上街扫雪,这张照片摄于南京建邺区文化艺术中心小剧场,26日清晨,某舟桥旅官兵540余人,结束彻夜扫雪除冰任务后,在此休息,他们中绝大部分是90后,95后,现代快报,网友,最可爱的人,原图,",True,2018-01-26 20:55,新媒体聚合平台,443134,46348,14831
",盘点2017,转发,向我们的英雄致敬,一路走好,近日,河北民警常群勇抓捕嫌犯时被刺伤牺牲,年仅30岁,警察是和平年代流血最多的职业群体,面对受伤甚至死亡,他们也会害怕,但困难危急之时,他们不曾退缩犹豫,平安从来都不会从天而降,不过是有人在替你负重前行,转发致敬,一路走好,英雄们,组图共9张,原图,",True,2017-12-15 10:16,新媒体聚合平台,386125,58991,55711
"转发传递,这就是中国立场,组图共9张,原图,",True,2019-06-02 10:52,新媒体聚合平台,324293,151077,22866
",来,听这个特别版的,我爱你中国,用歌声为祖国打call,一起唱出我们的爱,我爱你中国,人民日报的秒拍视频,",True,2017-10-01 19:06,新媒体聚合平台,116373,307958,35630
",印度,界线即是底线,原图,",True,2017-07-07 12:29,微博 weibo.com,303277,100501,55257
",袁隆平获未来科学大奖,发表得奖感言,我还有两个梦,18日,2018未来科学大奖颁奖典礼在北京举行,包括袁隆平在内的7位科学家共获大奖,袁隆平因身体原因未能来到现场,通过视频发表得奖感言,他说自己还有两个梦,一个是禾下乘凉梦,一个是杂交水稻覆盖全球梦,中新视频的秒拍视频,致敬,",True,2018-11-19 09:41,新媒体聚合平台,363216,56346,36864
",四川木里县森林大火,记住这30个名字,记住他们的样子,英雄,一路走好,组图共9张,原图,",True,2019-04-02 15:33,新媒体聚合平台,111646,306857,29906
",正在直播,重庆坠江公交水下视频曝光车辆细节,直击现场,重庆公交车坠江事故,发现9名遇难者,已打捞上岸7名,潜水员进入公交车内搜寻,发现车窗玻璃全部破碎,车辆前方数米处有一断崖,现场应急救援指挥部要求,尊重遇难者,优先搜寻遇难者遗体,现场正根据方案开展相关工作,人民日报的微博直播,",True,2018-10-30 18:00,微博网页版,377394,6571,45299
